5	5	6492	96666947
5	5	5864	144391
5	5	7321	322777
5	5	7295	96516
5	5	8780	102091
5	10	4804	123791
5	10	4383	103845
5	10	4364	200097
5	10	4805	480884
5	10	4687	90742
5	15	3067	150892
5	15	3180	145873
5	15	3265	124758
5	15	3139	129207
5	15	3226	113916
5	20	2422	267769
5	20	2276	143808
5	20	2396	200165
5	20	2463	119842
5	20	2348	131396
5	25	1911	145887
5	25	1922	127461
5	25	1957	142228
5	25	1821	200235
5	25	1880	137463
5	30	1643	116441
5	30	1609	249649
5	30	1649	109975
5	30	1649	148781
5	30	1566	154896
5	35	1368	123494
5	35	1373	126997
5	35	1369	8056379
5	35	1348	149419
5	35	1372	151030
5	40	1188	197561
5	40	1168	257233
5	40	1187	226869
5	40	1196	380002
5	40	1154	264559
5	45	1053	202609
5	45	1052	248397
5	45	1061	141908
5	45	1058	244387
5	45	1061	337640
5	50	955	303655
5	50	967	305079
5	50	964	313598
5	50	966	530108
5	50	971	187850
5	55	883	290592
5	55	885	249841
5	55	873	205490
5	55	883	183790
5	55	883	322507
5	60	796	166358
5	60	806	424613
5	60	810	523414
5	60	811	218394
5	60	802	165465
5	65	749	158044
5	65	740	374133
5	65	748	172380
5	65	744	189149
5	65	747	229244
5	70	686	179477
5	70	685	2188178
5	70	689	134776
5	70	697	460074
5	70	694	231048
5	75	654	151683
5	75	652	261573
5	75	650	154251
5	75	656	321918
5	75	654	323865
5	80	613	131226
5	80	609	498288
5	80	608	174865
5	80	611	165775
5	80	607	156601
5	85	570	270535
5	85	581	148335
5	85	576	506949
5	85	577	272208
5	85	576	164553
5	90	546	250663
5	90	545	321713
5	90	550	401354
5	90	547	177620
5	90	545	266184
5	95	517	350418
5	95	514	715389
5	95	520	216936
5	95	514	420297
5	95	520	326455
5	100	494	359634
5	100	492	265276
5	100	488	330121
5	100	490	567887
5	100	493	275400
10	5	13987	84357
10	5	12933	90289
10	5	14760	196991
10	5	14710	106462
10	5	14572	104257
10	10	8637	86325
10	10	8381	72602
10	10	8538	86505
10	10	8365	627757
10	10	8374	166214
10	15	6033	109923
10	15	6049	110949
10	15	5959	102876
10	15	6012	117017
10	15	5949	914054
10	20	4443	120336
10	20	4559	138290
10	20	4564	119146
10	20	4525	87351
10	20	4574	104606
10	25	3705	111251
10	25	3688	102039
10	25	3723	951261
10	25	3686	121956
10	25	3940	186075
10	30	3300	98435
10	30	3156	106914
10	30	3215	587171
10	30	3265	137543
10	30	3263	308465
10	35	2718	156488
10	35	2822	163002
10	35	2786	142193
10	35	2737	133667
10	35	2819	165128
10	40	2466	165931
10	40	2405	325367
10	40	2451	149045
10	40	2462	126069
10	40	2406	114258
10	45	2210	110373
